input,actual_output,expected_output,retrieval_context
What role does T-cell count play in severe human adenovirus type 55 (HAdV-55) infection?,"According to the passage, a lower T-cell count may be a risk factor for severe human adenovirus type 55 (HAdV-55) infection. The study found that three of the five patients with severe infection had relatively low T-cell counts when admitted, suggesting that they may have been relatively immunocompromised. In contrast, the only patient who recovered from severe infection had higher T-cell counts. This suggests that T-cell count plays a crucial role in the clearance of HAdV viremia and survival of the host.","The T-cell count plays a crucial role in severe human adenovirus type 55 (HAdV-55) infection, as patients with severe disease may have low T-cell counts. In the study mentioned, the only patient who recovered from severe infection had higher T-cell counts, suggesting that a lower T-cell count may be a risk factor for severe HAdV-55 infection.","['Title: Emergent severe acute respiratory distress syndrome caused by adenovirus type 55 in immunocompetent adults in 2013: a prospective observational study\nPassage: Recent studies have shown that the immune system plays a crucial role in the clearance of HAdV viremia and survival of the host . Chen et al. reported that, in the acute phase of HAdV-55 infection, patients with severe disease may have high levels of dendritic cells and Th17 cells . In our study, the only patient who recovered from severe infection had higher T-cell counts. Three of the five patients had relatively low T-cell counts when admitted. Our results suggest that these three patients may have been relatively immunocompromised and that a lower T-cell count may be a risk', 'Title: Emergent severe acute respiratory distress syndrome caused by adenovirus type 55 in immunocompetent adults in 2013: a prospective observational study\nPassage: Our study results suggest that the following may be clinical features of ARDS caused by HAdV-55: persistent high fever, rapid progression of dyspnea, need for mechanical ventilation support, elevated AST level and rapid progression from unilateral infiltrates to bilateral consolidations. These clinical features are highly similar to those of ARDS caused by other types of HAdV described in previous reports .', 'Title: Human adenovirus type 7 infection causes a more severe disease than type 3\nPassage: Laboratory findings for the HAdV-7-positive inpatients were also significantly different from those infected by HAdV-3 . Specifically, the HAdV-7-positive inpatients had lower white blood cell count , platelet count . In contrast, hemoglobin and C-reactive protein levels, and the percentages of lymphocytes, neutrophils and positive sputum culture were found to be statistically similar.', 'Title: Minimal within-host dengue models highlight the specific roles of the immune response in primary and secondary dengue infections\nPassage: T-cell-secreted cytokines have also been implicated in the development of severe disease . Specifically, a theory known as original antigenic sin proposes that memory T-cell populations with low avidity for the infecting virus of a heterologous secondary infection cause a strong pro-inflammatory response, as would any memory T-cell population activated by a secondary infection. Yet, because of their low avidity, the ability of these T cells to lyse infected cells, and thereby to protect against viral infection, may be poor . In support of OAS, a study of dengue virus-specific T-cell responses in Thai children showed that the majority of', 'Title: Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium\nPassage: On the other end of the spectrum, viruses that induce strong type 1 inflammation and cell death such as IFV and certain CoV , may not cause prolonged inflammation due to strong induction of antiviral clearance. These infections, however, cause massive damage and cell death to the epithelial barrier, so much so that areas of the epithelium may be completely absent post infection . Factors such as RANTES and CXCL10, which recruit immune cells to induce apoptosis, are strongly induced from IFV infected epithelium . Additionally, necroptotic factors such as RIP3 further compounds the cell deaths in IFV infected epithelium']"
What is MVO?,"Based on the provided passages, MVA stands for Modified Vaccinia Ankara, which is a vaccine vector. It is mentioned in multiple passages as a leading viral-vectored candidate vaccine, and is used in various studies, including one on a Chikungunya virus vaccine and another on its replication in human cells.","MVO is not defined or mentioned in the provided context. It is possible that it is a typo and may refer to MV (measles virus) instead. If there is more specific information or context provided, I would be able to give a more accurate answer.","[""Title: Assessment of Temporary Community-Based Health Care Facilities During Arbaeenia Mass Gathering at Karbala, Iraq: Cross-Sectional Survey Study\nPassage: In most countries, the WHO has a country office led by a WHO Representative . The WRO provides the most important link between the WHO and the affected country for the purposes of gathering technical information, providing the local context in which an event takes place to WHO, conveying the opinions and preferences of the country to WHO regional and central headquarters, and relaying relevant information back to the affected country. During an MG event, the WRO's role in the event management process includes the following:"", 'Title: Virus-Vectored Influenza Virus Vaccines\nPassage: MVA as a leading viral-vectored candidate vaccine.', 'Title: A Novel MVA Vectored Chikungunya Virus Vaccine Elicits Protective Immunity in Mice\nPassage: adjuvants and normally elicit weak T cell responses. In contrast, MVA has been shown to be safe in thousands of human patients micro-neutralization assay and ELISA , respectively. Prime only MVA-GFP data is not shown because it does not differ with the prime & boost groups. Mice were monitored for 14 days following challenge for survival and footpad swelling . The first three days following challenge viremia levels were measured via TCID 50 . The dotted line indicates the limit of detection of the assay. doi:10.1371/journal.pntd.0002970.g002', 'Title: Health care workers indicate ill preparedness for Ebola Virus Disease outbreak in Ashanti Region of Ghana\nPassage: Willingness to work during outbreaks and emergencies is deemed a sense of duty even in the face of risk. In this study, less than 50% of HCWs indicated their willingness to work in the event of an EVD outbreak. Additionally, over one third indicated various forms of compensation for themselves or families in case of death or while taking care of an EVD case. This implies that if HCWs are assured or guaranteed that they and or their families would be taken care of in case of death or while taking care of an EVD case, they will willingly work', 'Title: SPI-1 is a missing host-range factor required for replication of the attenuated modified vaccinia Ankara (MVA) vaccine vector in human cells\nPassage: Modified viruses were constructed by homologous recombination using fluorescent reporter genes for selection. To generate MVA-SPI-1, a C12L DNA segment was introduced into the genome of MVA at the deletion III site by inserting the DNA fragment downstream of the mH5 promoter in pLW44-derived vector which also contains the P11 VACV promoter driven GFP . The MVA-SPI-1 F322A and MVA-SPI-1 T309R were constructed by mutating the Phe322 into Ala and Thr309 into Arg using Q5 Site-Directed Mutagenesis Kit .']"
What have sero-surveys of MERS virus found?,"Sero-surveys of MERS virus have found no sign of MERS-CoV antibodies among 2,400 sera from patients visiting a hospital in Jeddah from 2010 to 2012, prior to the description of MERS-CoV. Similarly, no prior MERS-CoV infection was detected among a small sample of 130 healthy blood donors from another hospital in Jeddah. However, among 226 slaughterhouse workers, eight were positive by IFA, although these sera could not be confirmed by virus neutralization. Seropositive dromedary camels (DCs) have been found throughout the Arabian Peninsula and Africa, but no neutralizing antibody against MERS-CoV was detected in other animals tested, including sheep, cows, pigs, and others.","Sero-surveys of MERS virus found no sign of MERS-CoV antibodies among patients visiting hospitals in Jeddah from 2010 through 2012, nor any sign of prior MERS-CoV infection among healthy blood donors and only 10% of strongly seropositive Canary Island in a sero-survey of livestock. They did, however, find 15 sera collected in 2012 to 2013 from 10,009 people in 13 KSA provinces contained MERS-CoV antibodies, with significantly higher proportions occurring in camel shepherds and slaughterhouse workers.","['Title: MERS coronavirus: diagnostics, epidemiology and transmission\nPassage: for human sero-surveys. These relied on MERS-CoV-infected cell culture as an antigen source, detecting the presence of human anti-MERS-CoV IgG, IgM or neutralizing antibodies in human samples . No sign of MERS-CoV antibodies was found among 2,400 sera from patients visiting Hospital in Jeddah, from 2010 through 2012, prior to the description of MERS-CoV . Nor did IFA methods detect any sign of prior MERS-CoV infection among a small sample of 130 healthy blood donors from another Hospital in Jeddah . Of 226 slaughterhouse workers, only eight were positive by IFA, and those sera could not be confirmed by virus', 'Title: MERS coronavirus: diagnostics, epidemiology and transmission\nPassage: Since this study, a host of peer-reviewed reports have looked at both DCs and other animals, and the possibility that they may host MERS-CoV infection. Seropositive DCs have been found throughout the Arabian Peninsula including Oman, the KSA, Qatar, Jordan, the United Arab Emirates , Kuwait as well as Sudan, Somalia, Egypt, Tunisia, Nigeria, Kenya and Ethiopia in Africa and the Canary Islands . Other animals tested include sheep, cows, pigs, horses, donkeys, mules, birds, water buffalo, goats, Bactrian camels, llamas and guanaco but none had detectable neutralising antibody against MERS-CoV . No virology or serology studies of human samples', 'Title: MERS coronavirus: diagnostics, epidemiology and transmission\nPassage: but close and lengthy exposure appears to be a requirement. The KSA is the focal point of MERS, with the majority of human cases. In humans, MERS is mostly known as a lower respiratory tract disease involving fever, cough, breathing difficulties and pneumonia that may progress to acute respiratory distress syndrome, multiorgan failure and death in 20 % to 40 % of those infected. However, MERS-CoV has also been detected in mild and influenza-like illnesses and in those with no signs or symptoms. Older males most obviously suffer severe disease and MERS patients often have comorbidities. Compared to severe acute', 'Title: MERS coronavirus: diagnostics, epidemiology and transmission\nPassage: but close and lengthy exposure appears to be a requirement. The KSA is the focal point of MERS, with the majority of human cases. In humans, MERS is mostly known as a lower respiratory tract disease involving fever, cough, breathing difficulties and pneumonia that may progress to acute respiratory distress syndrome, multiorgan failure and death in 20 % to 40 % of those infected. However, MERS-CoV has also been detected in mild and influenza-like illnesses and in those with no signs or symptoms. Older males most obviously suffer severe disease and MERS patients often have comorbidities. Compared to severe acute', 'Title: MERS coronavirus: diagnostics, epidemiology and transmission\nPassage: but close and lengthy exposure appears to be a requirement. The KSA is the focal point of MERS, with the majority of human cases. In humans, MERS is mostly known as a lower respiratory tract disease involving fever, cough, breathing difficulties and pneumonia that may progress to acute respiratory distress syndrome, multiorgan failure and death in 20 % to 40 % of those infected. However, MERS-CoV has also been detected in mild and influenza-like illnesses and in those with no signs or symptoms. Older males most obviously suffer severe disease and MERS patients often have comorbidities. Compared to severe acute']"
How were untreated MDA-MB-231 cells labeled?,"According to the passage, untreated MDA-MB-231 cells were not specifically labeled. However, the cells treated with or without 70% methanol for 30 min were considered as a relative control for all dead or live cells. Live cells were stained with Calcein AM, and dead cells were stained with Ethidium homodimer-1.",The untreated MDA-MB-231 cells were labeled with Calcein AM and Ethidium homodimer-1 for live and dead cell population and observed under microscopy.,"['Title: Kinome-Wide siRNA Screening Identifies Src-Enhanced Resistance of Chemotherapeutic Drugs in Triple-Negative Breast Cancer Cells\nPassage: MDA-MB-231 and Hs578T cells were seeded at density of 2 × 10 4 in NanoCulture plates in the presence of 10 nM siRNA. The cells were cultured for 3 days until tumorsphere formation. The tumorsphere were then treated with anticancer drugs for 48 h and stained with Calcein AM and Ethidium homodimer-1 for live and dead cell population, respectively. The cells treated with or without 70% methanol for 30 min were considered as a relative control for all dead or live cells. The live and dead cells were then observed under microscopy and quantitated with Fluoroskan Ascent FL reader as', 'Title: High Throughput Screening for Small Molecule Enhancers of the Interferon Signaling Pathway to Drive Next-Generation Antiviral Drug Discovery\nPassage: To achieve simultaneous treatment of cells with IFN-b and various compound concentrations and to avoid reagent degradation over time, the screen was run in a modular manner with a precise timeline . The first step included production of plates with appropriate concentrations of compound and IFN-b and then storage at 4uC. A separate plate was made for each of the four compound concentrations . The Twister II, Sciclone, Orca, and Liconic cold storage incubator handled this step. For the second step, cells were plated at 8000 cells per well in 384-well assay plates . This step was accomplished in seven', 'Title: A Novel MVA Vectored Chikungunya Virus Vaccine Elicits Protective Immunity in Mice\nPassage: adjuvants and normally elicit weak T cell responses. In contrast, MVA has been shown to be safe in thousands of human patients micro-neutralization assay and ELISA , respectively. Prime only MVA-GFP data is not shown because it does not differ with the prime & boost groups. Mice were monitored for 14 days following challenge for survival and footpad swelling . The first three days following challenge viremia levels were measured via TCID 50 . The dotted line indicates the limit of detection of the assay. doi:10.1371/journal.pntd.0002970.g002', 'Title: Egr-1 regulates RTA transcription through a cooperative involvement of transcriptional regulators\nPassage: The cells were harvested and processed for the detection of Egr-1 phosphorylation through immunoprecipitation and immunoblotting. d. 10 ×10 6 BCBL-1 cells were induced with TPA for 24h. The cells were harvested and processed for the detection of Egr-1 phosphorylation through immunoprecipitation and immunoblotting.', 'Title: A potent human neutralizing antibody Fc-dependently reduces established HBV infections\nPassage: Antibody concentrations. The antibody concentrations in serum samples were measured by ELISA using antibody standards with known concentrations. Note, for dpi 40 and dpi 54, the blood samples were collected at three days after Ab administration; for dpi 60, the blood samples were collected 1 hr after Ab administration. The horizontal dotted lines indicate the lowest detection limits; the vertical dotted lines and the grey-shaded areas indicate the treatment window . IHC staining of human cytokeratin-18 and HBsAg in serial sections of liver tissues from sacrificed hFRG mice at the end of the experiment . Intrahepatic HBsAg was detected by']"
What is the number of inhabitants of Reunion Island?,"According to the passage, Réunion Island has 850,000 inhabitants. This information is mentioned in three different passages, all of which describe Réunion Island as a French overseas territory with a population of 850,000.","Reunion Island has a population of 850,000 inhabitants.","['Title: Pandemic Influenza Due to pH1N1/2009 Virus: Estimation of Infection Burden in Reunion Island through a Prospective Serosurvey, Austral Winter 2009\nPassage: the population of Reunion Island and a Chi2 test was used to analyse differences in age, sex and geographic location. Cumulative incidence rates of infection and seroconversion rates were standardized according to the age structure of the community source).', 'Title: Etiology of Influenza-Like Illnesses from Sentinel Network Practitioners in Réunion Island, 2011-2012\nPassage: Réunion Island, a French overseas territory with 850,000 inhabitants, is located in the southern hemisphere between Madagascar and Mauritius in the Indian Ocean . The island benefits from a healthcare system similar to mainland France and epidemiological surveillance has been developed by the regional office of the French Institute for Public Health Surveillance , based on the surveillance system of mainland France . Influenza activity generally increases during austral winter, corresponding to summer in Europe . Since 2011, influenza vaccination campaign in Reunion Island starts in April and the vaccine used corresponds to World Health Organization recommendations for the southern', 'Title: Etiology of Influenza-Like Illnesses from Sentinel Network Practitioners in Réunion Island, 2011-2012\nPassage: Réunion Island, a French overseas territory with 850,000 inhabitants, is located in the southern hemisphere between Madagascar and Mauritius in the Indian Ocean . The island benefits from a healthcare system similar to mainland France and epidemiological surveillance has been developed by the regional office of the French Institute for Public Health Surveillance , based on the surveillance system of mainland France . Influenza activity generally increases during austral winter, corresponding to summer in Europe . Since 2011, influenza vaccination campaign in Reunion Island starts in April and the vaccine used corresponds to World Health Organization recommendations for the southern', 'Title: Etiology of Influenza-Like Illnesses from Sentinel Network Practitioners in Réunion Island, 2011-2012\nPassage: Réunion Island, a French overseas territory with 850,000 inhabitants, is located in the southern hemisphere between Madagascar and Mauritius in the Indian Ocean . The island benefits from a healthcare system similar to mainland France and epidemiological surveillance has been developed by the regional office of the French Institute for Public Health Surveillance , based on the surveillance system of mainland France . Influenza activity generally increases during austral winter, corresponding to summer in Europe . Since 2011, influenza vaccination campaign in Reunion Island starts in April and the vaccine used corresponds to World Health Organization recommendations for the southern', 'Title: Improving early epidemiological assessment of emerging Aedes-transmitted epidemics using historical data\nPassage: priors on February 7th, the forecast of epidemic size was 47,200 in Martinique, much closer to the final count of 37,400 observed cases at the end of the epidemic in this island.']"
What genome sequence was available for this study?,"The available genome sequence for this study is the 3D7 reference genome of Plasmodium falciparum. This reference genome was used for aligning short-read sequencing data from clinical isolates using bowtie2. Additionally, the complete genomes of viral pathogens were used for comparative sequence analysis and multiple nucleotide sequence alignments. The genomes were analyzed using various bioinformatics tools such as mVISTA and MEGA4.","The genome sequences for the study were available in NCBI's GenBank database, and the Illumina read data was submitted to NCBI's Short Read Archive.","[""Title: Strains used in whole organism Plasmodium falciparum vaccine trials differ in genome structure, sequence, and immunogenic potential\nPassage: For the full collection of clinical isolates that had whole genome short-read sequencing data , reads were aligned to the 3D7 reference genome using bowtie2 . Samples with less than 10 million reads mapping to the reference were excluded, as samples with less than this amount had reduced coverage across the genome. Bam files were processed according to GATK's Best Practices documentation . Joint SNP calling was done using Haplotype Caller . Because clinical samples may be polyclonal , diploid calls were initially allowed, followed by calling the major allele at positions with heterozygous calls. If the major allele was"", 'Title: Ambra1 spatially regulates Src activity and Src/FAK-mediated cancer cell invasion via trafficking networks\nPassage: t-test was carried out to calculate the statistical significance. enrichment was determined using two-tailed unequal variances t-test. Proteins were filtered according to their annotations with traffic-related gene ontology terms . DOI: 10.7554/eLife.23172.022', ""Title: Complete viral RNA genome sequencing of ultra-low copy samples by sequence-independent amplification\nPassage: All consensus genome assemblies generated as part of this project were submitted to NCBI's GenBank database . Illumina read data was submitted to NCBI's Short Read Archive under Trace Identifiers SRR513075, SRR513078, SRR513080, SRR513086-87, SRR513092, and SRR527699-726."", 'Title: Personal genomes, quantitative dynamic omics and personalized medicine\nPassage: As technology improves we expect to see advancements in each omics implementation discussed above. In terms of sequencing, continual improvements in depth and read length will allow unambiguous precise sequence mapping and additionally the querying of lower gene expression, coupled to higher accuracy in variant calling. With sequencing times becoming faster , and hardware more compact, eventually such technology will be available in the clinic, enabling the incorporation of all genomic, transcriptomic, microbiomic and autoantibodyomic profiling as parts of regular medical examinations. Correspondingly, mass spectrometry improvements will improve mass accuracy, and higher sensitivity, allowing increases in the number of proteins', ""Title: Development of Real-Time PCR Array for Simultaneous Detection of Eight Human Blood-Borne Viral Pathogens\nPassage: We used the ''Insignia'' program , a bioinformatics on line tool developed in the Center for Bioinformatics and Computational Biology, University of Maryland to choose a specific DNA or RNA ''signature'' for targeted viruses. Comparative sequence analysis of the complete genomes was performed using mVISTA . Multiple nucleotide sequence alignments were then created to visualize the most conserved genome areas using MEGA4 .""]"
What is  the destabilization is further compounded by?,"According to the passage, the destabilization is further compounded by impaired bacterial immune response, either from direct viral influences, or use of corticosteroids to suppress the exacerbation symptoms.","The destabilization is further compounded by structural inequalities coupled with civil unrest, which already produce widespread hunger, malnourishment, and famine.","['Title: Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium\nPassage: are due to the effect of enhanced acute airway inflammation impacting upon and worsening the symptoms of the existing disease . These acute exacerbations are the main cause of morbidity and sometimes mortality in patients, as well as resulting in major economic burdens worldwide. However, due to the complex interactions between the host and the exacerbation agents, the mechanisms of exacerbation may vary considerably in different individuals under various triggers. Acute exacerbations are usually due to the presence of environmental factors such as allergens, pollutants, smoke, cold or dry air and pathogenic microbes in the airway . These agents elicit', 'Title: Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium\nPassage: are due to the effect of enhanced acute airway inflammation impacting upon and worsening the symptoms of the existing disease . These acute exacerbations are the main cause of morbidity and sometimes mortality in patients, as well as resulting in major economic burdens worldwide. However, due to the complex interactions between the host and the exacerbation agents, the mechanisms of exacerbation may vary considerably in different individuals under various triggers. Acute exacerbations are usually due to the presence of environmental factors such as allergens, pollutants, smoke, cold or dry air and pathogenic microbes in the airway . These agents elicit', 'Title: Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium\nPassage: are due to the effect of enhanced acute airway inflammation impacting upon and worsening the symptoms of the existing disease . These acute exacerbations are the main cause of morbidity and sometimes mortality in patients, as well as resulting in major economic burdens worldwide. However, due to the complex interactions between the host and the exacerbation agents, the mechanisms of exacerbation may vary considerably in different individuals under various triggers. Acute exacerbations are usually due to the presence of environmental factors such as allergens, pollutants, smoke, cold or dry air and pathogenic microbes in the airway . These agents elicit', 'Title: Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium\nPassage: infection may also alter the nutrient profile in the airway through release of previously inaccessible nutrients that will alter bacterial growth . Furthermore, the destabilization is further compounded by impaired bacterial immune response, either from direct viral influences, or use of corticosteroids to suppress the exacerbation symptoms . All these may gradually lead to more far reaching effect when normal flora is replaced with opportunistic pathogens, altering the inflammatory profiles . These changes may in turn result in more severe and frequent acute exacerbations due to the interplay between virus and pathogenic bacteria in exacerbating chronic airway inflammatory diseases .', ""Title: Respiratory Viral Infections in Exacerbation of Chronic Airway Inflammatory Diseases: Novel Mechanisms and Insights From the Upper Airway Epithelium\nPassage: inflammatory nature of these diseases . One of the reasons for the involvement of respiratory viruses' in exacerbations is their ease of transmission and infection . In addition, the high diversity of the respiratory viruses may also contribute to exacerbations of different nature and severity . Hence, it is important to identify the exact mechanisms underpinning viral exacerbations in susceptible subjects in order to properly manage exacerbations via supplementary treatments that may alleviate the exacerbation symptoms or prevent severe exacerbations.""]"
How many amino acids are in the SARS-CoV E protein?,"There is no mention of the E protein in the provided passages. The passages discuss the S protein of CoVs, which is a type I transmembrane glycoprotein of approximately 1,255 amino acids in length, divided into two functional domains: S1 and S2.","The passage ""Severe Acute Respiratory Syndrome Coronavirus Viroporin 3a Activates the NLRP3 Inflammasome"" states that the SARS-CoV E protein consists of approximately 76 amino acids in length.","['Title: Neutralization Interfering Antibodies: A “Novel” Example of Humoral Immune Dysfunction Facilitating Viral Escape?\nPassage: The S protein of CoVs is inserted in the envelope of the virion mediating binding and fusion events necessary for infection, and it is the major target of the humoral protective immunity . Although the S protein of SARS-CoV shares little aminoacid identity , it shares common structural features with S proteins of the other members of the Coronaviridae family. SARS-S protein is a type I transmembrane glycoprotein of approximately 1,255 amino acids in length and divided into two functional domains: S1 and S2 . In many CoVs, the S protein is cleaved during biogenesis and these two functional domains', 'Title: Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan\nPassage: Spike glycoprotein comprised of S1 and S2 subunits. The S1 subunit contains a signal peptide, followed by an N-terminal domain and receptor-binding domain , while the S2 subunit contains conserved fusion peptide , heptad repeat 1 and 2, transmembrane domain , and cytoplasmic domain . We found that the S2 subunit of 2019-nCoV is highly conserved and shares 99% identity with those of the two bat SARS-like CoVs and human SARS-CoV . Thus the broad spectrum antiviral peptides against S2 would be an important preventive and treatment modality for testing in animal models before clinical trials . Though the S1', 'Title: Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan\nPassage: Spike glycoprotein comprised of S1 and S2 subunits. The S1 subunit contains a signal peptide, followed by an N-terminal domain and receptor-binding domain , while the S2 subunit contains conserved fusion peptide , heptad repeat 1 and 2, transmembrane domain , and cytoplasmic domain . We found that the S2 subunit of 2019-nCoV is highly conserved and shares 99% identity with those of the two bat SARS-like CoVs and human SARS-CoV . Thus the broad spectrum antiviral peptides against S2 would be an important preventive and treatment modality for testing in animal models before clinical trials . Though the S1', 'Title: Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan\nPassage: The single-stranded RNA genome of the 2019-nCoV was 29891 nucleotides in size, encoding 9860 amino acids. The G + C content was 38%. Similar to other . There are no remarkable differences between the orfs and nsps of 2019-nCoV with those of SARS-CoV . The major distinction between SARSr-CoV and SARS-CoV is in orf3b, Spike and orf8 but especially variable in Spike S1 and orf8 which were previously shown to be recombination hot spots.', 'Title: Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan\nPassage: The single-stranded RNA genome of the 2019-nCoV was 29891 nucleotides in size, encoding 9860 amino acids. The G + C content was 38%. Similar to other . There are no remarkable differences between the orfs and nsps of 2019-nCoV with those of SARS-CoV . The major distinction between SARSr-CoV and SARS-CoV is in orf3b, Spike and orf8 but especially variable in Spike S1 and orf8 which were previously shown to be recombination hot spots.']"
"What is the  the rate of general transmission, even in outbreaks?","According to the passage ""Transmission patterns of smallpox: systematic review of natural outbreaks in Europe and North America since World War II"", the median initial reproduction rate (R) across all 51 outbreaks was 2, with a range of 0 to 38. About half of the outbreaks had an initial R of 1 or less, and over two-thirds had an initial R of 3 or less. This suggests that the rate of general transmission, even in outbreaks, is relatively low, with most outbreaks having an R value of 3 or less.","The median initial reproduction rate across all 51 outbreaks was 2 with a range of 0 to 38. About half had an initial R of 1 or less, and over two-thirds had an initial R of 3 or less. This suggests that the rate of general transmission, even in outbreaks, is relatively low overall.","['Title: Preparation for Possible Sustained Transmission of 2019 Novel Coronavirus\nPassage: Secondly, the R0, the basic reproduction number, is correctly described as the average number of infections each case causes. But it lacks two key ideas: 1) the 0 after the R implies the native state, which is a fully susceptible population and without any control measures. R is the effectiive number and can include the impact of control measures.', 'Title: Preparation for Possible Sustained Transmission of 2019 Novel Coronavirus\nPassage: Secondly, the R0, the basic reproduction number, is correctly described as the average number of infections each case causes. But it lacks two key ideas: 1) the 0 after the R implies the native state, which is a fully susceptible population and without any control measures. R is the effectiive number and can include the impact of control measures.', 'Title: Transmission patterns of smallpox: systematic review of natural outbreaks in Europe and North America since World War II\nPassage: The median initial reproduction rate across all 51 outbreaks was 2 with a range of 0 to 38 . About half had an initial R of 1 or less, and over two-thirds had an initial R of 3 or less. The median duration, as measured by number of generations, was 1 with a range of 0 to 9 . About a third did not extend beyond the index generation, and nearly three quarters lasted for 3 or fewer generations. The median outbreak size, as measured by the total number of cases, was 4 with a range of 1 to 134', 'Title: Clinical review: Mass casualty triage – pandemic influenza and critical care\nPassage: and case fatality rates during a pandemic, including the potential for more than one wave. The base scenario assumes a clinical attack rate of 25% and a case fatality rate of 0.37%, giving rise to 53,700 excess deaths in the UK. A reasonable worst case scenario involves a cumulative clinical attack rate of 50% with 2.5% case fatality, causing 709,300 excess deaths. Similarly, the US Department of Health and Human Services predicts that in a ""moderate"" scenario based on a virus with 1968-like pathogenicity, 865,000 will require hospitalisation and 65,000 will require ventilation. They also outline a ""severe"" 1918-like scenario', 'Title: Epidemiological research priorities for public health control of the ongoing global novel coronavirus (2019-nCoV) outbreak\nPassage: Data on viral shedding dynamics could help in assessing duration of infectiousness. For severe acute respiratory syndrome-related coronavirus , infectivity peaked at around 10 days after illness onset , consistent with the peak in viral load at around that time . This allowed control of the SARS epidemic through prompt detection of cases and strict isolation. For influenza virus infections, virus shedding is highest on the day of illness onset and relatively higher from shortly before symptom onset until a few days after onset . To date, transmission patterns of 2019-nCoV appear more similar to influenza, with contagiousness occurring around']"
What primer pairs were used for PCR?,"According to the passage, primer pairs targeting NP and PB2 segments were used for PCR. The primers used in this study had a thymine nucleotide at the 5' end to minimize addition of non-templated adenosines during amplification using Taq polymerase. The sensitivity of each RT-PCR primer pair was determined using known quantities of a synthetic calibrant RNA template. Each of the primer pairs was sensitive to as few as twenty copies of the calibrant RNA, and several primers were sensitive to five copies.",The primer pairs targeting NP and PB2 segments were used for PCR.,"['Title: Global Surveillance of Emerging Influenza Virus Genotypes by Mass Spectrometry\nPassage: primer pairs targeting NP and PB2 segments. All primers used in this study had a thymine nucleotide at the 59 end to minimize addition of non-templated adenosines during amplification using Taq polymerase . The sensitivity of each RT-PCR primer pair was determined using known quantities of a synthetic calibrant RNA template as described previously . Each of the primer pairs was sensitive to as few as twenty copies of the calibrant RNA and several primers were sensitive to five copies .', 'Title: Studying copy number variations using a nanofluidic platform\nPassage: A real-time PCR reaction was also performed on these 48 samples. Twenty-four replicates were used for each sample. Although the average copy numbers were close to the digital array data, large fluctuations were observed in the 24 reactions of each sample. Studies on other genes showed that real-time PCR does not always produce accurate results .', 'Title: Performance and workflow assessment of six nucleic acid extraction technologies for use in resource limited settings\nPassage: The PATH and the CDC laboratories both used the CDC-validated real-time RT-PCR assays specific for each target microbe in this study. Oligonucleotide primers and probes were procured from IDT . Real time PCR has previously been described as an effective method by which to assess the performance of extraction methods in that it is highly specific, it can detect very low levels of target and can indirectly inform on the purity of extracted samples . The core amplification reagent used in all real time RT-PCR assays was qScript XLT 1-Step RT-qPCR ToughMix . All reactions were conducted in 20 μL', 'Title: Internal control for real-time polymerase chain reaction based on MS2 bacteriophage for RNA viruses diagnostics\nPassage: Initially, false-positive results, a consequence of reaction contamination with previously generated amplicons, were the main concern of those who were using this new technique. Measures were adopted to avoid contamination with pre-amplified nucleic acids and substantial improvement achieved with the introduction of real-time PCR. This is because real-time PCR is a closed tube system which does not require post-PCR analysis of amplicons; still considered a major source of contamination and false-positive results when executing this technique.', 'Title: Evaluation of Four Different Systems for Extraction of RNA from Stool Suspensions Using MS-2 Coliphage as an Exogenous Control for RT-PCR Inhibition\nPassage: The ABI Prism 7500 sequence detection system was used for the amplification and detection of the MS2 and Enterovirus RNA by TaqMan technology as previously described . Briefly, for MS2 rRT-PCR, 5 ml of RNA was added to the AgPath Mastermix , which contained the published concentrations of primers and probes and 5-carboxy-X-rhodamine succinimidyl ester as an internal reference dye, whereas 8 ml of RNA was added for all enterovirus rRT-PCR assays. rRT-PCR was performed under the following conditions: 30 min at 48uC, 10 min at 95uC, and 60 cycles of 15 s at 95uC and 1 min at 60uC.']"
